wine,rating,reviewer
Ch창teau du Port 2012 Cuv챕e Prestige Malbec (Cahors),91,Roger Voss
Ch창teau du Port 2013 Tertre-Perdigous Malbec-Merlot (Cahors),87,Roger Voss
Ch창teau du Port 2014 Cuv챕e Prestige Malbec (Cahors),89,Roger Voss
Ch창teau du Port 2014 Tertre-Perdigous Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Ducla 2011  Bordeaux Sup챕rieur,86,Roger Voss
Ch창teau Duhart Milon 2013  Pauillac,92,Roger Voss
Ch창teau Eug챕nie 2008 Cuv챕e Pierre le Grand Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Eug챕nie 2008 Cuv챕e R챕serv챕e de l'A챦eul Malbec (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2008 Haute Collection Malbec (Cahors),93,Roger Voss
Ch창teau Eug챕nie 2008 Tradition Malbec-Merlot (Cahors),87,Roger Voss
Ch창teau Eug챕nie 2009 Cuv챕e Pierre le Grand Malbec-Merlot (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2009 Cuv챕e R챕serve de l'A챦eul Malbec-Tannat (Cahors),93,Roger Voss
Ch창teau Eug챕nie 2009 Tradition Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Eug챕nie 2010 Cuv챕e Pierre le Grand Malbec-Merlot (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2010 Tradition Malbec-Merlot (Cahors),89,Roger Voss
Ch창teau Eug챕nie 2011 Cuv챕e R챕serve de l'A챦eul Malbec-Tannat (Cahors),93,Roger Voss
Ch창teau Eug챕nie 2011 Tradition Malbec-Merlot (Cahors),89,Roger Voss
Ch창teau Eug챕nie 2012 Cuv챕e Tsar Pierre le Grand Malbec-Merlot (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2012 Haute Collection Malbec (Cahors),94,Roger Voss
Ch창teau Eug챕nie 2012 Tradition Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Eug챕nie 2013 Cuv챕e R챕serve de l'A챦eul Malbec-Tannat (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2013 Cuv챕e Tsar Pierre le Grand Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Eug챕nie 2013 Haute Collection Malbec (Cahors),94,Roger Voss
Ch창teau Eug챕nie 2013 Tradition Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Eug챕nie 2014 Cuv챕e R챕serv챕e de l'A챦eul Malbec-Tannat (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2014 Cuv챕e Tsar Pierre le Grand Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Eug챕nie 2014 Haute Collection Malbec (Cahors),93,Roger Voss
Ch창teau Eug챕nie 2014 Tradition Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Eug챕nie 2015 Cuv챕e R챕serve de l'A챦eul Malbec-Tannat (Cahors),92,Roger Voss
Ch창teau Eug챕nie 2015 Cuv챕e Tsar Pierre le Grand Malbec-Merlot (Cahors),91,Roger Voss
Ch창teau Eug챕nie 2015 Tradition Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Famaey 2009 Cuv챕e X Malbec (Cahors),92,Roger Voss
Ch창teau Famaey 2010 F청t de Ch챗ne Malbec (Cahors),89,Roger Voss
Ch창teau Famaey 2011 Cuv챕e X Malbec (Cahors),93,Roger Voss
Ch창teau Famaey 2011 F청t de Ch챗ne Malbec (Cahors),91,Roger Voss
Ch창teau Famaey 2011 Malbec (Cahors),90,Roger Voss
Ch창teau Famaey 2012 Classic Malbec (Cahors),89,Roger Voss
Ch창teau Fantou 2012 L'Enclos des Graves Malbec-Merlot (Cahors),86,Roger Voss
Ch창teau Ferran 2012  Pessac-L챕ognan,88,Roger Voss
Ch창teau Ferrande 2012 Barrel Sample  (Graves),92,Roger Voss
Ch창teau Fourcas Hosten 2003  Listrac-M챕doc,88,Roger Voss
Ch창teau Gaudrelle NV Vigneau Brut  (Vouvray),90,Roger Voss
Ch창teau Gaudrelle NV Vigneau Brut Chenin Blanc-Chardonnay (Cr챕mant de Loire),90,Roger Voss
Ch창teau Gautoul 2005 Malbec (Cahors),90,Roger Voss
Ch창teau Gazin Rocquencourt 2012  Pessac-L챕ognan,89,Roger Voss
Ch창teau Grand Corbin 2006  Saint-?�milion,89,Roger Voss
Ch창teau Haut Bertinerie 2010 Elegance  (Blaye C척tes de Bordeaux),90,Roger Voss
Ch창teau Haut Bertinerie 2012 Elegance  (Blaye C척tes de Bordeaux),88,Roger Voss
Ch창teau Haut Lagrange 2012  Pessac-L챕ognan,89,Roger Voss
Ch창teau Haut Peyrefaure 2012  Blaye C척tes de Bordeaux,85,Roger Voss
Ch창teau Haut Peyrefaure 2014  Blaye C척tes de Bordeaux,86,Roger Voss
Ch창teau Haut Peyrefaure 2015  Blaye C척tes de Bordeaux,87,Roger Voss
Ch창teau Haut Peyrefaure 2015 R챕serve  (Blaye C척tes de Bordeaux),91,Roger Voss
Ch창teau Haut Peyrefaure 2016  Blaye C척tes de Bordeaux,88,Roger Voss
Ch창teau Haut Selve 2010  Graves,89,Roger Voss
Ch창teau Haut Selve 2011  Graves,90,Roger Voss
Ch창teau Haut Selve 2012  Graves,89,Roger Voss
Ch창teau Haut Selve 2015  Graves,92,Roger Voss
Ch창teau Haut-Bergey 2009 Barrel sample  (Pessac-L챕ognan),88,Roger Voss
Ch창teau Haut-Bergey 2010 Barrel sample  (Pessac-L챕ognan),91,Roger Voss
Ch창teau Haut-Bergey 2012  Pessac-L챕ognan,90,Roger Voss
Ch창teau Haut-Bergey 2012 Barrel Sample  (Pessac-L챕ognan),92,Roger Voss
Ch창teau Haut-Brion 2005  Pessac-L챕ognan,98,Roger Voss
Ch창teau Haut-Brion 2011 Barrel Sample  (Pessac-L챕ognan),95,Roger Voss
Ch창teau Haut-Monplaisir 2005 Prestige Malbec (Cahors),91,Roger Voss
Ch창teau Haut-Monplaisir 2008 Prestige Malbec (Cahors),89,Roger Voss
Ch창teau Haut-Monplaisir 2008 Pur Plaisir Malbec (Cahors),90,Roger Voss
Ch창teau Haut-Monplaisir 2009 Malbec (Cahors),91,Roger Voss
Ch창teau Haut-Monplaisir 2009 Prestige Malbec (Cahors),90,Roger Voss
Ch창teau Haut-Monplaisir 2009 Pur Plaisir Malbec (Cahors),93,Roger Voss
Ch창teau Haut-Monplaisir 2010 Pur Plaisir Malbec (Cahors),94,Roger Voss
Ch창teau Haut-Monplaisir 2011 Malbec (Cahors),90,Roger Voss
Ch창teau Haut-Monplaisir 2011 Pur Plaisir Malbec (Cahors),94,Roger Voss
Ch창teau Haut-Monplaisir 2012 Malbec (Cahors),90,Roger Voss
Ch창teau Haut-Monplaisir 2012 Prestige Malbec (Cahors),93,Roger Voss
Ch창teau Haut-Monplaisir 2012 Pur Plaisir Malbec (Cahors),95,Roger Voss
Ch창teau Haut-Monplaisir 2014 Malbec (Cahors),88,Roger Voss
Ch창teau Haut-Monplaisir 2014 Prestige Malbec (Cahors),93,Roger Voss
Ch창teau Haut-Monplaisir 2014 Pur Plaisir Malbec (Cahors),95,Roger Voss
Ch창teau Haut-Monplaisir 2016 L'Envie Malbec (Cahors),87,Roger Voss
Ch창teau Haut-Peyrous 2009  Graves,87,Roger Voss
Ch창teau la Caminade 2006 L'Esprit de Caminade Malbec (Cahors),93,Roger Voss
Ch창teau la Caminade 2006 Red (Cahors),88,Roger Voss
Ch창teau la Caminade 2007 La Commandery Malbec (Cahors),88,Roger Voss
Ch창teau la Caminade 2008 La Commandery Malbec (Cahors),93,Roger Voss
Ch창teau la Coustarelle 2006 Grande Cuv챕e Prestige Malbec (Cahors),92,Roger Voss
Ch창teau la Garde 2012 Barrel Sample  (Pessac-L챕ognan),90,Roger Voss
Ch창teau la Louvi챔re 2010 Barrel sample  (Pessac-L챕ognan),94,Roger Voss
Ch창teau la Louvi챔re 2012 Barrel Sample  (Pessac-L챕ognan),94,Roger Voss
Ch창teau La Mission Haut-Brion 2000 Pessac-L�?��쩍ognan  (Bordeaux),94,Roger Voss
Ch창teau La Mission Haut-Brion 2009 Barrel sample  (Pessac-L챕ognan),95,Roger Voss
Ch창teau la Reyne 2007 Le Prestige Malbec (Cahors),88,Roger Voss
Ch창teau la Reyne 2011 L'Excellence Malbec (Cahors),93,Roger Voss
Ch창teau la Reyne 2012 Le Prestige Malbec Blend (Cahors),88,Roger Voss
Ch창teau la Tour Chapoux 2015  Bordeaux,86,Roger Voss
Ch창teau La Tour Figeac 2000  Saint-?�milion,94,Roger Voss
Ch창teau Lacaussade Saint-Martin 2016 Trois Moulins  (Blaye C척tes de Bordeaux),89,Roger Voss
Ch창teau Lagr챕zette 1997 Le Pigeonnier Malbec (Cahors),93,Joe Czerwinski
Ch창teau Lagr챕zette 1997 Red (Cahors),87,Joe Czerwinski
Ch창teau Lagr챕zette 2005 Cuv챕e Dame Honneur Malbec (Cahors),91,Roger Voss
Ch창teau Lagr챕zette 2005 Zette Rouge Malbec (Cahors),88,Roger Voss
Ch창teau Lagr챕zette 2006 Malbec (Cahors),92,Roger Voss
Ch창teau Lagr챕zette 2009 Ch창teau Chevaliers Lagr챕zette Malbec (Cahors),90,Roger Voss
Ch창teau Lagr챕zette 2009 Le Pigeonnier Malbec (Cahors),94,Roger Voss
Ch창teau Lagr챕zette 2009 Malbec (Cahors),93,Roger Voss
Ch창teau Lagr챕zette 2009 Purple Malbec (Cahors),86,Roger Voss
Ch창teau Lagr챕zette 2009 The Original Purple Malbec (Cahors),85,Roger Voss
Ch창teau Lagr챕zette 2010 Ch창teau Chevaliers Lagr챕zette Malbec (Cahors),91,Roger Voss
Ch창teau Lagr챕zette 2010 Malbec (Cahors),93,Roger Voss
Ch창teau Lagr챕zette 2011 Cuv챕e Dame Honneur Malbec (Cahors),92,Roger Voss
Ch창teau Lagr챕zette 2011 Malbec (Cahors),91,Roger Voss
Ch창teau Lagr챕zette 2011 Purple Malbec (Cahors),86,Roger Voss
Ch창teau Lagr챕zette 2012 Ch창teau Chevaliers Lagr챕zette Malbec (Cahors),91,Roger Voss
Ch창teau Lagr챕zette 2012 Clos Marguerite Massaut Malbec (Cahors),92,Roger Voss
Ch창teau Lagr챕zette 2012 Le Pigeonnier Malbec (Cahors),93,Roger Voss
Ch창teau Lagr챕zette 2012 Malbec (Cahors),94,Roger Voss
Ch창teau Lagr챕zette 2012 Purple by Lagrezette Malbec (Cahors),86,Roger Voss
Ch창teau Lagr챕zette 2012 Purple R챕serve Malbec (Cahors),88,Roger Voss
Ch창teau Lagr챕zette 2013 Ch창teau Chevaliers Lagr챕zette Malbec (Cahors),90,Roger Voss
Ch창teau Lagr챕zette 2013 Le Pigeonnier Malbec (Cahors),94,Roger Voss
Ch창teau Lagr챕zette 2013 Paragon Terroir de Massaut Malbec (Cahors),93,Roger Voss
Ch창teau Lagr챕zette 2013 Red (Cahors),93,Roger Voss
Ch창teau Lagr챕zette 2014 Cuv챕e Marguerite Massaut Malbec (Cahors),94,Roger Voss
Ch창teau Lagr챕zette 2014 Malbec (Cahors),93,Roger Voss
Ch창teau Lagr챕zette 2015 Chevalier du Ch창teau Lagr챕zette Malbec-Merlot (Cahors),92,Roger Voss
Ch창teau Lagr챕zette 2015 Seigneur de Gr챕zette Malbec-Merlot (Cahors),93,Roger Voss
Ch창teau Lamartine 2007 Cuv챕e Particuli챔re Malbec (Cahors),91,Roger Voss
Ch창teau Lamartine 2011 Cuv챕e Particuli챔re Malbec-Tannat (Cahors),93,Roger Voss
Ch창teau Lamartine 2011 Expression Malbec (Cahors),93,Roger Voss
Ch창teau Lamartine 2012 Cuv챕e Particuli챔re Malbec-Tannat (Cahors),92,Roger Voss
Ch창teau Lamartine 2012 Expression Malbec (Cahors),92,Roger Voss
Ch창teau Lamartine 2012 Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Lamartine 2012 Prestige du Malbec (Cahors),90,Roger Voss
Ch창teau Lamartine 2013 Prestige du Malbec (Cahors),91,Roger Voss
Ch창teau Lamartine 2014 Cuv챕e Particuli챔re Malbec-Tannat (Cahors),92,Roger Voss
Ch창teau Lamartine 2014 Expression Malbec-Tannat (Cahors),92,Roger Voss
Ch창teau Lamartine 2014 Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Lamartine 2014 Prestige du Malbec (Cahors),91,Roger Voss
Ch창teau Lamothe de Haux 2012 Valentine par Valentine  (C척tes de Bordeaux),88,Roger Voss
Ch창teau Larrivet Haut-Brion 2012  Pessac-L챕ognan,93,Roger Voss
Ch창teau Larrivet Haut-Brion 2013 Les Hauts de Larrivet Haut-Brion  (Pessac-L챕ognan),86,Roger Voss
Ch창teau Latour-Martillac 2008  Pessac-L챕ognan,92,Roger Voss
Ch창teau Latour-Martillac 2008 Barrel sample  (Pessac-L챕ognan),93,Roger Voss
Ch창teau Latour-Martillac 2009  Pessac-L챕ognan,91,Roger Voss
Ch창teau Latour-Martillac 2009 Barrel sample  (Pessac-L챕ognan),92,Roger Voss
Ch창teau Latour-Martillac 2010 Barrel sample  (Pessac-L챕ognan),94,Roger Voss
Ch창teau Latour-Martillac 2012  Pessac-L챕ognan,91,Roger Voss
Ch창teau Latour-Martillac 2012 Barrel Sample  (Pessac-L챕ognan),92,Roger Voss
Ch창teau Latour-Martillac 2014 Lagrave-Martillac  (Pessac-L챕ognan),92,Roger Voss
Ch창teau Laur 2012 Grande R챕serve Malbec (Cahors),91,Roger Voss
Ch창teau l'Avocat 2006  Graves,88,Roger Voss
Ch창teau le Bonnat 2006  Graves,86,Roger Voss
Ch창teau le Bonnat 2010  Graves,88,Roger Voss
Ch창teau les Arromans 2012 Cuv챕e Prestige  (Bordeaux),85,Roger Voss
Ch창teau les Charmes Godard 2012  Francs C척tes de Bordeaux,84,Roger Voss
Ch창teau les Croisille 2007 Cuv챕e Prestige Malbec (Cahors),86,Roger Voss
Ch창teau les Hauts d'Aglan 2009 Malbec-Merlot (Cahors),85,Roger Voss
Ch창teau les Hauts d'Aglan 2010 Malbec-Merlot (Cahors),87,Roger Voss
Ch창teau les Roques 2013  ,86,Roger Voss
Ch창teau Luchey-Halde 2012  Pessac-L챕ognan,86,Roger Voss
Ch창teau Malartic-Lagravi챔re 2011 Barrel Sample  (Pessac-L챕ognan),96,Roger Voss
Ch창teau Mauvesin Barton 2011  Moulis-en-M챕doc,88,Roger Voss
Ch창teau Moya 2014  Castillon C척tes de Bordeaux,88,Roger Voss
Ch창teau Noblet 2011  C척tes de Bourg,87,Roger Voss
Ch창teau Nozi챔res 2008 Cuv챕e Ambroise de l'Her Malbec-Merlot (Cahors),91,Roger Voss
Ch창teau Nozi챔res 2010 Ambroise de l'Her Malbec (Cahors),90,Roger Voss
Ch창teau Nozi챔res 2011 Ambroise de l'Her Malbec (Cahors),92,Roger Voss
Ch창teau Nozi챔res 2011 Malbec (Cahors),83,Roger Voss
Ch창teau Nozi챔res 2012 L'El챕gance Malbec (Cahors),92,Roger Voss
Ch창teau Nozi챔res 2012 Malbec-Merlot (Cahors),86,Roger Voss
Ch창teau Nozi챔res 2014 Ambroise de l'Her Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Nozi챔res 2014 Malbec-Merlot (Cahors),86,Roger Voss
Ch창teau Nozi챔res 2015 Amrboise de l'Her Malbec (Cahors),90,Roger Voss
Ch창teau Nozi챔res 2015 Malbec-Merlot (Cahors),87,Roger Voss
Ch창teau Olivier 2006 Barrel sample  (Pessac-L챕ognan),86,Roger Voss
Ch창teau Olivier 2011 Barrel Sample  (Pessac-L챕ognan),90,Roger Voss
Ch창teau Pape Cl챕ment 2004  Pessac-L챕ognan,90,Roger Voss
Ch창teau Pape Cl챕ment 2008 Barrel sample  (Pessac-L챕ognan),90,Roger Voss
Ch창teau Pape Cl챕ment 2009  Pessac-L챕ognan,95,Roger Voss
Ch창teau Pape Cl챕ment 2010 Barrel sample  (Pessac-L챕ognan),93,Roger Voss
Ch창teau Pape Cl챕ment 2012  Pessac-L챕ognan,95,Roger Voss
Ch창teau Peyros 2003 Cuv챕e Greenwich Tannat (Madiran),92,Roger Voss
Ch창teau Peyros 2005 Tannat-Cabernet (Madiran),91,Roger Voss
Ch창teau Peyros 2005 Vieilles Vignes Tannat (Madiran),92,Roger Voss
Ch창teau Peyros 2006 Tannat-Cabernet Franc (Madiran),92,Roger Voss
Ch창teau Peyros 2007 Tannat-Cabernet (Madiran),90,Roger Voss
Ch창teau Peyros 2007 Vieilles Vignes Tannat (Madiran),92,Roger Voss
Ch창teau Peyros 2008 Magenta Tannat-Cabernet (Madiran),86,Roger Voss
Ch창teau Peyros 2009 Cuv챕e Greenwich Tannat (Madiran),93,Roger Voss
Ch창teau Peyros 2010 Cuv챕e Greenwich Tannat-Cabernet Franc (Madiran),92,Roger Voss
Ch창teau Peyros 2010 Tannat-Cabernet (Madiran),91,Roger Voss
Ch창teau Peyros 2011 Tannat-Cabernet Franc (Madiran),90,Roger Voss
Ch창teau Peyros 2011 Vieilles Vignes Tannat-Cabernet Franc (Madiran),93,Roger Voss
Ch창teau Peyros 2012 Cuv챕e Greenwich Tannat (Madiran),92,Roger Voss
Ch창teau Peyros 2012 Tannat-Cabernet (Madiran),90,Roger Voss
Ch창teau Peyros 2013 Tannat-Cabernet (Madiran),88,Roger Voss
Ch창teau Peyros 2013 Vieilles Vignes Tannat-Cabernet (Madiran),93,Roger Voss
Ch창teau Picque Caillou 2011 Barrel Sample  (Pessac-L챕ognan),87,Roger Voss
Ch창teau Picque Caillou 2012 Barrel Sample  (Pessac-L챕ognan),92,Roger Voss
Ch창teau Picque Caillou 2015  Pessac-L챕ognan,94,Roger Voss
Ch창teau Pilet 2015  Bordeaux,87,Roger Voss
Ch창teau Ponzac 2008 Patiement Malbec (Cahors),90,Roger Voss
Ch창teau Ponzac 2009 Patiemment Malbec (Cahors),89,Roger Voss
Ch창teau Ponzac 2012 Eternellement Malbec (Cahors),92,Roger Voss
Ch창teau Ponzac 2014 Eternellement Malbec (Cahors),93,Roger Voss
Ch창teau Ponzac 2014 Maintenant Malbec (Cahors),87,Roger Voss
Ch창teau Ponzac 2014 Patiemment Malbec (Cahors),90,Roger Voss
Ch창teau Ponzac 2015 Eternellement Malbec (Cahors),93,Roger Voss
Ch창teau Ponzac 2015 Maintenant Malbec (Cahors),87,Roger Voss
Ch창teau Ponzac 2015 Patiemment Malbec (Cahors),90,Roger Voss
Ch창teau Rahoul 2006 Barrel sample  (Graves),87,Roger Voss
Ch창teau Ramafort 2007  M챕doc,84,Roger Voss
Ch창teau Saint-Didier-Parnac 2009 Prieur�?de Cenac Malbec (Cahors),92,Roger Voss
Ch창teau Saint-Didier-Parnac 2009 Prieur�?de C챕nac Mission Malbec-Merlot (Cahors),91,Roger Voss
Ch창teau Saint-Didier-Parnac 2011 Prieur�?de C챕nac Malbec (Cahors),91,Roger Voss
Ch창teau Saint-Didier-Parnac 2011 Prieur�?de C챕nac Mission Malbec-Merlot (Cahors),89,Roger Voss
Ch창teau Saint-Didier-Parnac 2012 Ch창teau de Gr챕zels Prestige Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Saint-Didier-Parnac 2012 Prieur�?de C챕nac Mission Malbec (Cahors),89,Roger Voss
Ch창teau Saint-Didier-Parnac 2013 Oltesse Malbec-Merlot (Cahors),84,Roger Voss
Ch창teau Saint-Didier-Parnac 2013 Tradition Malbec-Merlot (Cahors),86,Roger Voss
Ch창teau Saint-Didier-Parnac 2014 Ch창teau de Gr챕zels Prestige Malbec-Merlot (Cahors),90,Roger Voss
Ch창teau Saint-Didier-Parnac 2014 Prieur�?de C챕nac Malbec (Cahors),90,Roger Voss
Ch창teau Saint-Didier-Parnac 2014 Prieur�?de C챕nac Mission Malbec-Merlot (Cahors),88,Roger Voss
Ch창teau Saint-Didier-Parnac 2015 Ch창teau de Gr챕zels Prestige Malbec-Merlot (Cahors),91,Roger Voss
Ch창teau Saint-Didier-Parnac 2016 Ch창teau de Gr챕zels Prestige Malbec-Merlot (Cahors),92,Roger Voss
Ch창teau Saint-Didier-Parnac 2016 Prieur�?de C챕nac Malbec (Cahors),93,Roger Voss
Ch창teau Saint-Sernin 2005 Prestige Malbec (Cahors),89,Roger Voss
Ch창teau Saint-Sernin 2006 Prestige Malbec (Cahors),90,Roger Voss
Ch창teau Saint-Sernin 2007 Malbec (Cahors),86,Roger Voss
Ch창teau Saint-Sernin 2007 Prestige Malbec (Cahors),89,Roger Voss
Ch창teau Saint-Sernin 2008 Prestige Malbec (Cahors),89,Roger Voss
Ch창teau Saint-Sernin 2009 Malbec (Cahors),90,Roger Voss
Ch창teau Saint-Sernin 2009 Prestige Malbec-Merlot (Cahors),89,Roger Voss
Ch창teau Saint-Sernin 2010 Prestige Malbec-Merlot (Cahors),89,Roger Voss
Ch창teau Saint-Sernin 2011 Varua Maohi Mana Malbec (Cahors),88,Roger Voss
Ch창teau Saint-Sernin 2012 Chateau Quattre Malbec (Cahors),87,Roger Voss
Ch창teau Saint-Sernin 2012 Malbec-Merlot (Cahors),87,Roger Voss
Ch창teau Smith Haut Lafitte 2005  Pessac-L챕ognan,90,Roger Voss
Ch창teau Smith Haut Lafitte 2010 Barrel sample  (Pessac-L챕ognan),94,Roger Voss
Ch창teau Toumilon 2009  Graves,85,Roger Voss
Ch창teau Tour de Bigorre 2015  Bordeaux,87,Roger Voss
Ch창teau Tour d'Horable 2016  Castillon C척tes de Bordeaux,89,Roger Voss
Ch창teau Tour Saint-Joseph 2014  Haut-M챕doc,88,Roger Voss
Ch창teau Villa Bel Air 2003  Graves,89,Roger Voss
Ch창teau Vincens 2009 La Parcelle Oubli챕e Malbec (Cahors),91,Roger Voss
Ch창teau Vincens 2009 Les Graves de Paul Malbec (Cahors),92,Roger Voss
Ch창teau Vincens 2011 Origine Malbec (Cahors),93,Roger Voss
Ch창teau Vincens 2011 Prestige Malbec-Merlot (Cahors),93,Roger Voss
Ch창teau Vincens 2012 Malbec (Cahors),91,Roger Voss
Ch창teau Vincens 2014 Origine Malbec (Cahors),92,Roger Voss
Ch창teau Vincens 2014 Prestige Malbec-Merlot (Cahors),92,Roger Voss
Ch창teau Vircoulon 2015  Bordeaux Sup챕rieur,89,Roger Voss
Cinnabar 2012 Amber Knolls Malbec (Red Hills Lake County),89,Jim Gordon
City Winery Chicago 2012 Obsidian Ridge Vineyard Reserve Cabernet Sauvignon (Red Hills Lake County),91,Jim Gordon
City Winery Chicago 2013 Obsidian Ridge Vineyard Reserve Cabernet Sauvignon (Red Hills Lake County),88,Jim Gordon
City Winery of New York 2011 Obsidian Ridge Vineyard Reserve Cabernet Sauvignon (Red Hills Lake County),88,Jim Gordon
Claiborne & Churchill 2015 Greengate Ranch & Vineyard Pinot Noir (Edna Valley),93,Matt Kettmann
Claude Baron NV Cuv챕e Saphir Brut  (Champagne),87,Roger Voss
Clawson Creek 2009 Angela Pinot Noir,90,Paul Gregutt
Clearwater Canyon 2014 Estate Umiker Vineyard Syrah,86,Sean P. Sullivan
Clinton NV Jubilee Seyval Blanc (Hudson River Region),83,Joe Czerwinski
Clos d'Audhuy 2014 Malbec (Cahors),89,Roger Voss
Clos d'Audhuy 2015 Les Polissons Malbec (Cahors),87,Roger Voss
Clos de Gamot 2002 Cuv챕e des Vignes Centenaires Malbec (Cahors),87,Roger Voss
Clos de Gamot 2005 Malbec (Cahors),87,Roger Voss
Clos de los Siete 2012 Red (Valle de Uco),90,Michael Schachner
Clos des Cordeliers 2006 Prestige  (Saumur-Champigny),88,Roger Voss
Clos Fardet 2013 Tannat (Madiran),90,Roger Voss
Clos la Coutale 2009 Malbec (Cahors),91,Roger Voss
Clos La Soleya NV Brut Sparkling (Cava),84,Michael Schachner
Clos Triguedina 2005 Red (Cahors),90,Roger Voss
Clos Troteligotte 2004 La Fourmi Malbec (Cahors),87,Roger Voss
Clos Troteligotte 2005 K Lys Malbec (Cahors),91,Roger Voss
Clos Troteligotte 2005 K Price Malbec (Cahors),88,Roger Voss
Clos Troteligotte 2005 La Perdrix Malbec (Cahors),86,Roger Voss
Clos Troteligotte 2006 CQFD Malbec (Cahors),91,Roger Voss
Clos Troteligotte 2006 K Lys Malbec (Cahors),90,Roger Voss
Clos Troteligotte 2009 K Malbec (Cahors),93,Roger Voss
Clos Troteligotte 2009 K-Lys Malbec (Cahors),91,Roger Voss
Clos Troteligotte 2009 K-Or Malbec (Cahors),90,Roger Voss
Clos Troteligotte 2009 K-Price Malbec (Cahors),89,Roger Voss
Clos Troteligotte 2011 K Malbec (Cahors),93,Roger Voss
Clos Troteligotte 2011 K-2 Malbec (Cahors),95,Roger Voss
Clos Troteligotte 2011 K-lys Malbec (Cahors),90,Roger Voss
Clos Troteligotte 2011 K-nom Malbec-Merlot (Cahors),87,Roger Voss
Clos Troteligotte 2012 K Malbec (Cahors),93,Roger Voss
Clos Troteligotte 2012 K-2 Malbec (Cahors),95,Roger Voss
Clos Troteligotte 2012 K-Lys Malbec (Cahors),91,Roger Voss
Clos Troteligotte 2012 K-or Malbec (Cahors),92,Roger Voss
Clos Troteligotte 2013 K-2 Malbec (Cahors),95,Roger Voss
Clos Troteligotte 2014 K-2 Malbec (Cahors),94,Roger Voss
Clos Troteligotte 2014 K-Or Malbec (Cahors),92,Roger Voss
Clos Troteligotte 2015 K-Or Malbec (Cahors),91,Roger Voss
Clos Troteligotte 2015 K-Pot' Malbec (Cahors),85,Roger Voss
Cloudlift Cellars 2013 Stratus Petite Verdot (Yakima Valley),89,Sean P. Sullivan
Cl챕ment Bosquet 2014 Malbec (Cahors),84,Roger Voss
Cockburn's NV Special Reserve  (Port),82,Joe Czerwinski
Cockburn's NV Special Reserve  (Port),83,Joe Czerwinski
Cockburn's NV Special Reserve  (Port),87,Roger Voss
Codice Citra 2010 Caroso Riserva  (Montepulciano d'Abruzzo),88,Kerin O??�eefe
Codorn챠u NV Reserva Ravent처s Brut Sparkling (Cava),88,Michael Schachner
Coeur d'Alene 2006 Viognier (Washington),87,Paul Gregutt
Cola NV Athena Ros�?Sparkling (Franciacorta),89,Kerin O??�eefe
Cola NV Extra Brut Chardonnay (Franciacorta),90,Kerin O??�eefe
Cola NV Sat챔n Chardonnay (Franciacorta),89,Kerin O??�eefe
Colcanyon 2010 Cabernet Sauvignon,91,Matt Kettmann
Colcanyon 2010 Merlot,86,Matt Kettmann
Coli 2013 Pratale  (Chianti Classico),85,Kerin O??�eefe
Collet NV Brut Ros�? (Champagne),87,Roger Voss
Collet NV Brut Ros�? (Champagne),88,Roger Voss
Collet NV Esprit Couture Brut  (Champagne),94,Roger Voss
Colter's Creek 2013 Colter's Creek Vineyard Cabernet Franc,86,Sean P. Sullivan
Colter's Creek 2014 Koos Koos Kia Red,88,Sean P. Sullivan
"Concannon 2010 Conservancy, Crimson & Clover Red (Livermore Valley)",86,Virginie Boone
Concannon 2015 Crimson & Clover Reserve Red (Livermore Valley),84,Jim Gordon
Conde de Subirats NV Brut Ros�?Sparkling (Cava),82,Michael Schachner
Conde de Subirats NV Brut Sparkling (Cava),82,Michael Schachner
Conde de Subirats NV Brut Sparkling (Cava),85,Michael Schachner
Conde de Subirats NV Brut Sparkling (Cava),86,Michael Schachner
Conde de Subirats NV Brut Sparkling (Cava),87,Michael Schachner
Coniglio 2014 Cabernet Franc (Alexander Valley),86,Virginie Boone
Contadi Castaldi 2009 Soul Sat챕n Chardonnay (Franciacorta),88,Kerin O??�eefe
Contadi Castaldi 2010 Soul Ros�?Sparkling (Franciacorta),89,Kerin O??�eefe
Contadi Castaldi 2010 Zero Sparkling (Franciacorta),89,Kerin O??�eefe
Contadi Castaldi 2011 Sat챕n Chardonnay (Franciacorta),86,Kerin O??�eefe
Contadi Castaldi NV Brut Sparkling (Franciacorta),85,Kerin O??�eefe
